候选概念,标记类别,,《操作系统》课程概念分类说明：分三类：核心概念；相关概念；其他
地址寄存器,2,,核心概念（请标2）：本课程考点，可以作为习题出现。例如“虚拟内存”，“页表”，“IO”，“管程”
虚拟地址,2,,相关概念（请标1）：先修概念或非本课程考点等相关概念。例如“printf”，“链表”，“链路层”
逻辑地址空间,2,,其他（请标0）：非本课程概念或非概念，例如“百度”，“厂商”，“陈老师”，“浙江大学”，“缘故”
寻址空间,2,,对于仍然模糊的概念请根据您的理解判断，标0，1或2均可。例如“磁盘”，“主板”
内存地址,2,,
编址,2,,
中断向量表,2,,
双向链表,1,,
地址总线,2,,
逻辑地址,2,,
页表,2,,
中断描述符表,2,,
寻址,2,,
地址空间,2,,
物理地址,2,,
地址映射,2,,
中断向量,2,,
线性地址,2,,
数据包,1,,
通信链路,1,,
数据传输方式,1,,
地址转换,2,,
存储单元,1,,
数据存储,1,,
指令指针寄存器,2,,
偏移地址,2,,
时钟中断,2,,
机器指令,1,,
轮询,1,,
寻址方式,2,,
基址寄存器,2,,
指令寄存器,2,,
控制寄存器,2,,
ip地址,2,,
寄存器,2,,
中断返回指令,2,,
链路,1,,
动态分配内存,2,,
报文,1,,
路由表,1,,
输入数据,1,,
状态寄存器,2,,
报文交换,1,,
二进制代码,1,,
传输,1,,
返回地址,2,,
数据,1,,
字符设备,2,,
接收数据,2,,
地址,2,,
指令流,1,,
寄存器机,1,,
通用寄存器,2,,
错误码,2,,
ret指令,2,,
标志寄存器,2,,
特权指令,2,,
信号量,2,,
绝对地址,2,,
堆栈,2,,
地址线,1,,
网络延时,1,,
操作数,2,,
中断请求,2,,
中断号,2,,
管程,2,,
端口号,1,,
磁道,1,,
段寄存器,2,,
数据块,1,,
数据位,1,,
节点,1,,
段地址,2,,
二进制,1,,
数据采集,1,,
段描述符,2,,
定时器,1,,
数据单位,1,,
元数据,1,,
数据总线,1,,
处理机,2,,
优先级,2,,
时分复用,2,,
数据段,2,,
字节,1,,
堆栈段,2,,
缓冲区,2,,
冗余,1,,
阻塞状态,2,,
字节序,1,,
缓冲区溢出,2,,
段式存储管理,2,,
优先队列,2,,
信道,1,,
分组,1,,
消息队列,2,,
协议,1,,
校验,2,,
电平,1,,
延时,1,,
指令,2,,
计数器,1,,
纳秒,0,,
高电平,1,,
汇编指令,1,,
信号,2,,
队列,1,,
先进先出,1,,
等待队列,2,,
比特位,1,,
码,1,,
段基址,2,,
线路,0,,
屏蔽,2,,
环路,0,,
空闲,1,,
bss段,2,,
毫秒,0,,
消息,1,,
域,0,,
基址,2,,
单元,0,,
移位,1,,
调制,1,,
嵌入式系统,2,,
多用户系统,2,,
虚拟存储系统,2,,
系统编程,1,,
网络文件系统,1,,
硬件系统,1,,
计算机操作系统,2,,
存储管理,2,,
计算机应用,1,,
分时系统,2,,
系统软件,2,,
应用软件,2,,
实时操作系统,2,,
多处理机系统,2,,
信号处理,1,,
控制算法,1,,
多处理机,2,,
linux操作系统,2,,
操作系统内核,2,,
系统资源,2,,
windows操作系统,2,,
操作系统概念,1,,
操作系统课程设计,1,,
网络互联,1,,
技术文档,0,,
空间管理,2,,
并发程序,2,,
系统结构,1,,
操作系统,2,,
硬件抽象层,2,,
计算机系统结构,1,,
操作系统原理,2,,
分布式文件系统,2,,
计算机原理,1,,
通用操作系统,2,,
系统配置,1,,
图形用户界面,2,,
计算机系统,2,,
软件系统,2,,
嵌入式,1,,
集成开发环境,1,,
可用性,2,,
微内核,2,,
操作系统实验,1,,
网络协议,1,,
模拟器,1,,
计算机组成原理,1,,
版本管理,1,,
网络,1,,
编译系统,1,,
系统维护,1,,
广域网,1,,
冗余技术,1,,
计算机,1,,
可扩展性,2,,
分布式系统,2,,
硬件,2,,
计算机技术,1,,
软件设计,1,,
开源软件,1,,
硬件环境,1,,
集群系统,2,,
数据库,1,,
实时性,2,,
图形界面,2,,
软件,1,,
数据管理,1,,
易用性,2,,
面向对象设计,1,,
数据处理,1,,
硬件基础,2,,
网络环境,1,,
体系结构,1,,
可视化,1,,
数据安全,1,,
